Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,709,551,563.38","10.97","1,709,551,563.38","50,257,000.00","34.02","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","644,429,691.87","4.14","644,429,691.87","13,207,500.00","48.79","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","357,603,323.18","2.30","357,603,323.18","9,708,231.00","36.84","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","343,533,661.83","2.21","343,533,661.83","33,115,156.00","10.37","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","216,981,383.05","1.39","216,981,383.05","11,481,752.00","18.90","India","National Stock Exchange Of India","USD","86.61","INR","-"
"3690","MEITUAN","Consumer Discretionary","Equity","191,231,719.11","1.23","191,231,719.11","10,071,300.00","18.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","185,882,335.89","1.19","185,882,335.89","12,361,707.00","15.04","India","National Stock Exchange Of India","USD","86.61","INR","-"
"000660","SK HYNIX INC","Information Technology","Equity","163,511,429.16","1.05","163,511,429.16","1,111,306.00","147.13","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","151,168,213.46","0.97","151,168,213.46","195,462,760.00","0.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","149,948,373.96","0.96","149,948,373.96","10,597,763.00","14.15","India","National Stock Exchange Of India","USD","86.61","INR","-"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","149,079,514.23","0.96","149,079,514.23","1,412,139.00","105.57","China","NASDAQ","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","141,454,032.59","0.91","141,454,032.59","6,748,373.00","20.96","India","National Stock Exchange Of India","USD","86.61","INR","-"
"1810","XIAOMI CORP","Information Technology","Equity","140,139,444.63","0.90","140,139,444.63","31,211,400.00","4.49","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"2454","MEDIATEK INC","Information Technology","Equity","134,825,692.55","0.87","134,825,692.55","3,104,338.00","43.43","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","Jul 23, 2001"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","133,849,188.79","0.86","133,849,188.79","25,400,873.00","5.27","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","Sep 26, 1991"
"1120","AL RAJHI BANK","Financials","Equity","102,655,812.79","0.66","102,655,812.79","3,983,088.00","25.77","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","97,828,252.68","0.63","97,828,252.68","5,206,086.00","18.79","India","National Stock Exchange Of India","USD","86.61","INR","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","94,813,851.81","0.61","94,813,851.81","5,030,854.00","18.85","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","89,245,154.22","0.57","89,245,154.22","141,195,085.00","0.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"2222","SAUDI ARABIAN OIL","Energy","Equity","88,476,786.38","0.57","88,476,786.38","11,750,970.00","7.53","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","87,460,779.14","0.56","87,460,779.14","1,836,670.00","47.62","India","National Stock Exchange Of India","USD","86.61","INR","-"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","83,192,473.74","0.53","83,192,473.74","1,262,312.00","65.90","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"9999","NETEASE INC","Communication","Equity","77,737,270.92","0.50","77,737,270.92","3,934,350.00","19.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","72,884,396.74","0.47","72,884,396.74","13,605,000.00","5.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","72,499,999.99","0.47","72,499,999.99","72,500,000.00","1.00","United States","-","USD","1.00","USD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","72,412,975.42","0.46","72,412,975.42","145,272,933.00","0.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","71,864,272.00","0.46","71,864,272.00","2,120,500.00","33.89","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","69,249,906.39","0.44","69,249,906.39","6,006,063.00","11.53","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","67,891,541.99","0.44","67,891,541.99","343,917.00","197.41","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","67,838,018.33","0.44","67,838,018.33","112,138,300.00","0.60","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
