Ticker,Classification,AssignedPerson,Number
ABBV,Dividend,Viktor,1
ARE,Momentum trades medium growth,Frank,1
ALL,Momentum trades medium growth,Firale,1
AXP,Momentum trades,Eva,1
AWK,Momentum trades medium growth,Florian,1
AMP,Momentum trades medium growth,Viktor,2
APH,Momentum trades medium growth,Frank,2
ANSS,Momentum trades high growth,Firale,2
AON,Momentum trades medium growth,Eva,2
AAPL,Momentum trades,Florian,2
AMAT,Momentum trades,Viktor,3
ACGL,Momentum trades high growth,Frank,3
AJG,Momentum trades medium growth,Firale,3
ADSK,Momentum trades medium growth,Eva,3
ADP,Momentum trades,Florian,3
AXON,Momentum trades high growth,Viktor,4
BAC,Dividend,Frank,4
BX,Dividend,Firale,4
BA,Turnaround,Eva,4
BKNG,Momentum trades,Florian,4
BMY,Momentum trades,Viktor,5
CDNS,Momentum trades medium growth,Frank,5
CPB,Momentum trades medium growth,Firale,5
CCL,Momentum trades medium growth,Eva,5
CARR,Momentum trades medium growth,Florian,5
CAT,Turnaround,Viktor,6
CBOE,Momentum trades medium growth,Frank,6
CBRE,Momentum trades medium growth,Firale,6
COR,Momentum trades medium growth,Eva,6
SCHW,Momentum trades,Florian,6
CVX,Dividend,Viktor,7
CMG,Momentum trades medium growth,Frank,7
CB,Momentum trades,Firale,7
CI,Momentum trades medium growth,Eva,7
CINF,Momentum trades high growth,Florian,7
CSCO,Dividend,Viktor,8
C,Turnaround,Frank,8
CLX,Momentum trades medium growth,Firale,8
CME,Momentum trades medium growth,Eva,8
KO,Dividend,Florian,8
CMCSA,Momentum trades,Viktor,9
COP,Turnaround,Frank,9
CSGP,Momentum trades medium growth,Firale,9
DAY,Momentum trades medium growth,Eva,9
DECK,Momentum trades medium growth,Florian,9
DFS,Momentum trades high growth,Viktor,10
ETN,Momentum trades,Frank,10
ECL,Momentum trades medium growth,Firale,10
EIX,Momentum trades medium growth,Eva,10
EMR,Momentum trades medium growth,Florian,10
EOG,Turnaround,Viktor,11
EQT,Momentum trades medium growth,Frank,11
EQIX,Momentum trades medium growth,Firale,11
ERIE,Momentum trades medium growth,Eva,11
EG,Momentum trades medium growth,Florian,11
EXPD,Momentum trades high growth,Viktor,12
EXR,Momentum trades medium growth,Frank,12
XOM,Dividend,Firale,12
FICO,Momentum trades medium growth,Eva,12
FDX,Momentum trades medium growth,Florian,12
FSLR,Momentum trades medium growth,Viktor,13
FI,Momentum trades,Frank,13
FTNT,Momentum trades medium growth,Firale,13
FOXA,Momentum trades medium growth,Eva,13
FOX,Momentum trades medium growth,Florian,13
BEN,Momentum trades medium growth,Viktor,14
FCX,Momentum trades medium growth,Frank,14
GRMN,Momentum trades medium growth,Firale,14
GE,Momentum trades,Eva,14
GD,Momentum trades medium growth,Florian,14
GM,Momentum trades medium growth,Viktor,15
GILD,Momentum trades,Frank,15
DOC,Momentum trades medium growth,Firale,15
HES,Momentum trades medium growth,Eva,15
HPE,Momentum trades medium growth,Florian,15
HD,Momentum trades,Viktor,16
HON,Momentum trades,Frank,16
HWM,Momentum trades medium growth,Firale,16
HUM,Momentum trades medium growth,Eva,16
IBM,Dividend,Florian,16
ITW,Turnaround,Viktor,17
INCY,Momentum trades medium growth,Frank,17
PODD,Momentum trades medium growth,Firale,17
INTC,Turnaround,Eva,17
ICE,Momentum trades medium growth,Florian,17
IRM,Momentum trades medium growth,Viktor,18
JNJ,Momentum trades,Frank,18
JCI,Turnaround,Firale,18
JPM,Dividend,Eva,18
KIM,Momentum trades medium growth,Florian,18
KMI,Turnaround,Viktor,19
KLAC,Momentum trades medium growth,Frank,19
LRCX,Momentum trades medium growth,Firale,19
L,Momentum trades medium growth,Eva,19
LOW,Turnaround,Florian,19
MMC,Momentum trades,Viktor,20
